id,title,slug,entities,category
12535,Cipriani reveals he once tried to buy a gun to kill himself,cipriani-reveals-he-once-tried-to-buy-a-gun-to-kill-himself,"[""England"",""Gloucester"",""Exeter"",""Danny Cipriani"",""Cipriani"",""Caroline Flack"",""ex-Love Island"",""Instagram"",""Gallagher Premiership""]",Entertainment
12537,Singapore Airlines steps up cleaning of aircraft,singapore-airlines-steps-up-cleaning-of-aircraft,"[""SIA"",""Singapore Airlines"",""Nicole Lew"",""COVID-19""]",Health
12538,Passenger bus catches fire near Botanic Gardens,passenger-bus-catches-fire-near-botanic-gardens,"[""Singapore Civil Defence Force"",""the Singapore Botanic Gardens""]",Other
12539,"U.S. to auction 4,000 bitcoins recovered from criminal cases",u-s-to-auction-4-000-bitcoins-recovered-from-criminal-cases,"[""U S"",""United States""]",Business
12540,Berlin Bank closes its UK outlook over Brexit,berlin-bank-closes-its-uk-outlook-over-brexit,"[""N26"",""EU"",""UK"",""Berlin"",""Britain""]",Business
12541,UK's top shipping company returns to Posidonia,u-ks-top-shipping-company-returns-to-posidonia,"[""Posidonia"",""Newport Shipping"",""UK""]",Business
12542,Credify raises $1M to spread business in Southeast Asia,credify-raises-dollar-1-m-to-spread-business-in-southeast-asia,"[""Credify"",""Singapore"",""SoftBank"",""AI""]",Business
12543,2020 Business Awards: SBR Intl. issue invite to multinational nominees,2020-business-awards-sbr-intl-issue-invite-to-multinational-nominees,"[""Singapore""]",Business
12544,Cardi B says she is coming to Africa again,cardi-b-says-she-is-coming-to-africa-again,"[""Twiter"",""Mzansi"",""Nigeria"",""Nigerian"",""South Africa"",""American"",""Africans"",""Africa"",""Cardi B""]",Entertainment
12545,Timi Dakolo reveals Michelle Dakolo is not his sister,timi-dakolo-reveals-michelle-dakolo-is-not-his-sister,"[""Pimi Dakolo"",""Popimi Dakolo"",""Lagos"",""Nigerian"",""Idols West Africa"",""Timi Dakolo s"",""Instagram"",""WhatsApp"",""Instagram TimiDakolo"",""Nollywood"",""Frank Dallas"",""Frank Dallas Ebulukwu"",""Timi Dakolo"",""imi Dakolo"",""Michelle Dakolo""]",Entertainment
12546,"Media Mogul, Mo Abudu becomes a grand mum",media-mogul-mo-abudu-becomes-a-grand-mum,"[""Ted"",""Mo Abudu"",""Media Mogul"",""Adebola Makanjuola"",""God"",""Linda Ikeji"",""Lagos"",""Dakore Egbuson"",""Omotola Jalade Ekeinde"",""Ihuoma Linda Ejiofor"",""Funke Akindele"",""Ireti Doyle"",""TY Bello"",""Abeokuta"",""Ogun State"",""Instagram"",""Dear Temidayo"",""Adebola"",""Oriental Hotels"",""Richard Mofe Damilola""]",Entertainment
12547,Toyin Abraham collaborates with Filmone Entertainment to release 'Fate of Alakada',toyin-abraham-collaborates-with-filmone-entertainment-to-release-fate-of-alakada,"[""Alakada"",""Broda Shaggy"",""Davido"",""Big Brother Naija"",""Filmone Entertainment"",""Kayode Kasum"",""Toyin Abraham""]",Entertainment
12548,"2baba set to release new album, 'Warrior' next week",2-baba-set-to-release-new-album-warrior-next-week,"[""2baba""]",Entertainment
12549,"Iyanya releases, 'For Your Love EP'",iyanya-releases-for-your-love-ep,"[""TBA"",""Afrobeats"",""Pop"",""Iyanya""]",Entertainment
12550,"Teni releases new single, 'Marry'",teni-releases-new-single-marry,"[""Teni""]",Entertainment
12551,"Soft feeatures Zlatan in new single, 'Odeshii'",soft-feeatures-zlatan-in-new-single-odeshii,"[""SoftZlatan"",""Soft"",""Zlatan""]",Entertainment
12572,"PM Trudeau says Rail Barricades ""Must Come Down""",pm-trudeau-says-rail-barricades-must-come-down,"[""Reuters"",""Justin Trudeau"",""Royal Canadian Mounted Police"",""Canadian"",""British Columbia"",""Wet'suwet'en First Nations"",""Quebec"",""Ontario"",""NPR"",""Vancouver"",""The Associated Press"",""Via Rail"",""Canadian National Railway"",""Trudeau""]",Politics
12575,Ethiopian refugees leave Kenya for home,ethiopian-refugees-leave-kenya-for-home-1,"[""Kenya"",""Dadaab"",""Ethiopian"",""Kakuma"",""United Nations Higher Commission of Refugees""]",Fashion
12589,NZ Prime Minister Jacinda Ardern in Fiji,nz-prime-minister-jacinda-ardern-in-fiji,"[""New Zealand"",""Clarke Gayford"",""Fiji"",""Jacinda Ardern"",""Frank Bainimarama"",""Suva""]",Politics
12590,Buhari Sets up humanitarian coordination committee,buhari-sets-up-humanitarian-coordination-committee-3,"[""Resident Coordinator"",""Yemi Osinbajo"",""NHCC"",""Abuja"",""Muhammadu Buhari"",""Borno"",""Adamawa"",""Yobe States"",""NSA"",""Hajiya Sadiya Farouk"",""National Security Adviser"",""Babagana Monguno"",""Femi Adesina"",""Nigeria Customs Service"",""Nigeria Governors' Forum"",""Buhari"",""United Nations""]",Politics
12591,Dangote invests money to boost South-East economy,dangote-invests-money-to-boost-south-east-economy,"[""Nigerian"",""Dangote"",""Dangote Group of Companies"",""Enugu"",""Nigeria"",""Frank Nneji"",""Chinese"",""Enugu State"",""Auto Industry"",""Mercedes Benz""]",Business
12592,Mastercard to scale up edutech initiatives in Africa,mastercard-to-scale-up-edutech-initiatives-in-africa-2,"[""Africa"",""Mastercard"",""American""]",Business
12593,El- Rufai says Southerner should succeed Buhari,el-rufai-says-southerner-should-succeed-buhari,"[""Nasir El-Rufai"",""Kaduna"",""Muhammadu Buhari"",""El- Rufai"",""Nasir el-Rufai"",""el-Rufai"",""Buhari""]",Politics
12594,Chester MLA Hugh Mackay charged again for impaired driving,chester-mla-hugh-mackay-charged-again-for-impaired-driving,"[""Upper Tantallon"",""Legislative Assembly"",""MLA"",""RCMP"",""Stillwater Lake"",""Hugh Mackay"",""Alcoholics Anonymous"",""Hugh MacKay""]",Law
12595,Three suspects arrested for impersonation,three-suspects-arrested-for-impersonation,"[""Economic and Financial Crimes Commission"",""EFCC"",""Magu"",""Ibrahim Magu""]",Law
12596,U.S. border check found human brain in Toronto post-shipment bound,u-s-border-check-found-human-brain-in-toronto-post-shipment-bound,"[""CBP"",""Port Huron"",""Ont"",""Sarnia"",""Kenosha"",""Wisconsin"",""USA"",""U.S. Customs"",""USPS"",""Michael Fox"",""Center for Disease Control and Prevention"",""Mich."",""Toronto"",""United States Customs and Border Protection"",""Canada Post""]",Law
12597,Committee vows to reveal sale of job slots,committee-vows-to-reveal-sale-of-job-slots,"[""Senate"",""Nigeria"",""EFCC"",""Kaduna South"",""Abuja"",""NPA"",""Federal Character Commission""]",Politics
12598,Buhari says Nigeria’s security structure must be examined,buhari-says-nigerias-security-structure-must-be-examined,"[""Aisha Buhari"",""Buhari"",""Appeal Court"",""Oyo"",""First Lady"",""Nigeria""]",Other
12599,Atiku calls for reform of SARS,atiku-calls-for-reform-of-sars,"[""Remo Stars FC"",""Nigeria"",""Atiku Abubakar"",""Nigeria Police"",""Fani-Kayode"",""Atiku"",""Nigerians"",""Kaka""]",Other
12600,Singapore Airlines freezes hiring for ground positions,singapore-airlines-freezes-hiring-for-ground-positions,"[""COVID-19"",""Singapore Airlines"",""SIA"",""Goh Choon Phong""]",Health
12603,Trump sends coronavirus budget request to Congress,trump-sends-coronavirus-budget-request-to-congress,"[""Democrats"",""Office of Management and Budget"",""White House"",""Trump"",""Capitol Hill"",""Congress""]",Health
12604,Simi says Feminism makes many men feel so vulnerable,simi-says-feminism-makes-many-men-feel-so-vulnerable,"[""Simi""]",Entertainment
12605,Sanders Cuba comments raises uproar in Florida Dems,sanders-cuba-comments-raises-uproar-in-florida-dems,"[""Joe Biden"",""Latinos"",""Latin American"",""Senate"",""Soviet Union"",""Democrat"",""Bernie Sanders"",""Florida"",""Cuba"",""Sanders"",""Fidel Castro"",""Donald Trump"",""Congress"",""Democrats"",""Cuban"",""Democratic"",""Javier Fernandez""]",Politics
12606,Schumer asks Trump admin to sanction Russia,schumer-asks-trump-admin-to-sanction-russia,"[""House Intelligence Committee"",""Schumer"",""Russia"",""Trump"",""Steven Mnuchin"",""Mike Pompeo"",""Chuck Schumer"",""Senate"",""Sherrod Brown"",""U.S."",""Robert Menendez"",""Senate Foreign Relations Committee"",""Democrat"",""Ohio"",""Vladimir Putin"",""Washington Post"",""New York Times"",""Iran"",""North Korea"",""America""]",Politics
12607,Actress Linda Osifo buys Mercedes Benz GLE 450 worth N20M,actress-linda-osifo-buys-mercedes-benz-gle-450-worth-n-20-m,"[""Linda Osifo"",""New York Times"",""Harvey Weinstein""]",Entertainment
12608,Maduro’s govt hires new Washington lawyer,maduros-govt-hires-new-washington-lawyer,"[""U.S."",""Robert Amsterdam"",""Republican"",""The Associated Press"",""Maduro"",""Foley & Lardner"",""Nicolás Maduro"",""Venezuela"",""Joseph McCarthy"",""Rick Scott"",""Amsterdam"",""Fla""]",Politics
